169,"""MY EYES CAN KILL..."" Hypnotic Powers REVEALED!",3yCp6cMPZcA
170,Evan. Bill Subritzky's Testimony About T.B. Joshua,oWOzGgoEi_w
171,Practical Demonstration With T.B. Joshua | What Confirms You As God's Servant?,ZgUlujVtfFI
172,"""Three Men Raped & Abused You..."" | Personal Prophecy With T.B. Joshua",_idOPJXN0pA
173,Ritualist 'Pastor' Revealed By Prophecy | T.B. Joshua,GbQPErW49Ps
174,CURSED! Prophecy Reveals Why Man Wears Pampers!!!,U4JjwnqhOcM
175,DEMONIC DEITIES: Greek Gods Exposed!!!,74K14qpKKrA
176,Malaysian Airlines Prophecy - T.B. Joshua,Q1-NsRWv25k
177,Don't Lose Focus | Powerful Sermon With T.B. Joshua,Y_bTYqNJW2c
178,T.B. Joshua Prays For All Nations!,iToV2qZ300U
179,MASS PRAYER WITH T.B. JOSHUA!!!,NMNi4qhziUg
180,POSSESSED PROPHETESS: Demons Behind Africa's Bondage Exposed!!!,GGqPlYrrtKU
181,"""My Wife Beats Me Up"" - MARRIAGE FROM HELL!!!",kT_1t9XMmoY
182,SHOCKING Confession Of BOKO HARAM Member!!!,MAhDniaExjU
183,"""I Took 100 Beers Daily!!!"" - A DRUNKARDS DELIVERANCE",A7LpMLWY_6g
184,DEMON FROM BERMUDA TRIANGLE EXPOSED!!!,gj-fzkNnqlU
185,DEMON CAUGHT ON CAMERA LEAVING WOMAN!!!,iRoeiovBJEw
186,Martial Arts Snake Tattoo | Personal Prophecy | TB Joshua,n8L7v7k1BA4
187,How INTERNET SEX And PORNOGRAPHY Destroyed Our Marriage!!!,SnQ-1T9lz70
188,"IF YOU DON'T BELIEVE IN MIRACLES, WATCH THIS... !!!",S7iKGy-Uae0
189,"""No Man Can Resist My Body..."" - SATANIC SEDUCTION!",QiJtio9n4Lc
190,WE ARE A TEAM | Words Of Wisdom | TB Joshua,I08Rh6bJL6M
191,PRAY WITH T.B. JOSHUA - BE RESCUED!!!,fh6kyUyA5HY
192,HE IS RELIABLE! - Pray with T.B. Joshua,YZllyTjfb-U
193,BE RESTORED! - Pray Along with T.B. Joshua,v-PDcotGHH8
194,WE ARE A TEAM | Full Message | T.B. Joshua,gIrffciQgng
195,ARE TATTOOS SINFUL? T.B. Joshua,rEgCUSWowzM
196,EVERYONE NEEDS DELIVERANCE! Powerful Mass Prayer With T.B. Joshua,zxPgrGsN3aU
197,"Bomb Blast in Abuja, Nigeria's Capital - T.B. Joshua Prophecy",BPsrk_Z48r0
198,KIDNAPPED KING!!!,YnwGQKen72M
199,FUNNY Advice From Pastor Set Free From Sexual Immorality!!!,_awo8-2019c
200,Love is the Greatest | Full Sermon With TB Joshua,UVCPRnWs-bE
201,Kenya Prophetic Warning - T.B. Joshua,yFlWaW_YS7s
202,GOSSIP JOURNALIST GETS A SHOCK - Delivered From Demons!!!,01JP6h4csYY
203,UKRAINE MAYOR SHOT!!! - T.B. Joshua Prophecy,0kdGqyqQGLI
204,Pastor's Son Possessed By Demon Of Lust!,IkO5a0jACkA
205,No Weapon Formed Against You Shall Prosper! MIND-BOGGLING TESTIMONY,YjTi7PMlD18
206,Laugh Louder In Jesus' Name | Prophetic Prayer With TB Joshua,uVsh685wHxM
207,HIV/ AIDS Anointing Water Testimony!!!,FACA5pV3tvg
208,I SURRENDER ALL! Powerful Mass Prayer With T.B. Joshua!!!,HG311Td-Sbo
209,WATCH This Wound CLOSE After PRAYER...,7q54WqZ07EY
210,THE SCOAN: Why Demons HATE This Church!!!,byf2zjy3vh0
211,"TB JOSHUA SPEAKS On Boko Haram, Chibok Girls, Warns Nigerian Politicians",6TPy4WBK6B8
212,ILLUMINATI EXPOSED: Satanism In Music Industry!!!,TjbllQA3lfo
213,PRINCE OF PERSIA SPEAKS: How Demons DESTROY!,9_jpWr1f8Q4
214,"CONFESSIONS OF A TEENAGE CULTIST - ""I Use Witchcraft To Fight!!!""",qAXiTK6lAl4
215,"""I Needed Written Permission From My Wife Before Sleeping With Her"" - PASTOR CONFESSES",midWz-yxBKs
216,FUNNY Deliverance!,_SjylTgUn3c
217,HORRIFIC: A Bloody Miracle!,IPbI0utajjw
218,MUST-WATCH Video For EVERY FAMILY!!!,fNO9jkFEWGo
219,"""My Wife REFUSES To Sleep With Me...""",g42QqHuG9rY
220,"FALLEN ANGEL SPEAKS: ""I Want My Wings Back!""",RuE443fH76E
221,From SECRET CULT To GOSPEL MUSICIAN!,tRpU9I9s85w
222,BULLDOZER! How Prophecy Solves Heated Family Issue!,OCv-IkYIm30
223,"""I Found My Husband's Condoms!!!"" - MARRIAGE COUNSELLING",BUYzIxUNv5w
224,PROOF THAT SUICIDE IS SATANIC!!!,vml3w-R1QMY
225,PRAYER FOR THOSE STRUGGLING WITH DOUBT - T.B. JOSHUA,303pzr95R2w
226,"""I PROPHESY TO YOUR LIFE..."" - TB Joshua Powerful Prayer",usr9cojC064
227,LETHAL SEDUCTION: I Enjoy Destroying Men!!!,dCCoZhm2Wxw
228,I Met A DEMON On The INTERNET!!!,ny8EjEPhVgQ
229,"Satan, Loose Your Grip!!! | Pray With T.B. Joshua",JiY43q0wJPg
230,MIGHTY MIRACLE: Maggot-Infested Leg Supernaturally Healed!!!,KfeJ1s-efdo
231,Because Of Christ... | Pray With T.B. Joshua,2hiz9U8bFXc
232,AWESOME Fruit Of The Womb Testimony!,46GPnlE7yU8
233,EXPOSED: How DEMONS Use The INTERNET!!!,YEmOFE5DV68
234,King Of The Ocean EXPOSED: Entire Family Delivered!!!,bCZrEwsOJBw
235,"""MY COVENANT WITH DEMONS"" - Magicians Secret Tricks Revealed!",Os_PE64BbHo
236,"Prayer For Healing With T.B. Joshua - ""Good Morning!!!""",jRPshEF7NXg
237,How Sex In The Dream Destroys | TB Joshua Prophecy,ESW9sZLNylA
238,How God Talks To You - T.B. Joshua,5ye4Ru0ujG4
239,I COMMAND RESTORATION! Mass Prayer With TB Joshua!!!,IknpEdKmdQc
240,"""Controversy Over This Child..."" - T.B. JOSHUA PERSONAL PROPHECY",wVdvscnhTKg
241,DISGUSTING: How Demons Use Sperm!!!,Eato_pVFebo
242,Fear Not | Words Of Wisdom With TB Joshua,p_kw4P1u_5Y
243,A DEMON sees ANGELS in CHURCH!!!,AWcAS2V-cDY
244,WARNING: How Demons Can Enter You Through Computer Games!!!,1BXrk-B4u7A
245,"""I Slept With 50 Men A Night..."" - CONFESSIONS OF A PROSTITUTE",pQj9_YL4SZQ
246,You Are A Faith Man | Powerful Message From T.B. Joshua,iycLMEjoCGc
247,The SECRETS Of CONTENTMENT | TB Joshua,KeB9MjAmJyA
248,They Want To Kill Your Brother | Personal Prophecy From T.B. Joshua,vzxR20e3iTk
249,"""RECEIVE REST FROM ALL YOUR TROUBLES"" - Pray Along With Prophet T.B. Joshua",Gcq7lXTbKy8
250,WHAT IS FAITH? Teaching With T.B. Joshua,T4wmcKM3K5s
251,NIGHTMARE BULLET UNCOVERED: Demonic Dreams In Reality!!!,23Q29i_7lUo
252,"""THERE IS SUICIDE IN THE FAMILY."" - T.B. Joshua Personal Prophecy",AmxKMrbOeBA
253,My Devilish Porn Addiction!!!,iD4sIikxxdw
254,Malaysian Airlines MH17 Plane Crash Prophecy - T.B. Joshua,nPSu5Koibys
255,Can God SEPARATE A Marriage??? MUST-WATCH!!!,MGfl5iCURSI
256,Deborah Fraser | South African Gospel Musician At The SCOAN,ayJcMWacLA4
257,South Korea Pastors Conference With T.B. Joshua | Day 1 | FULL,9p6S_oXDH4Y
258,INNOCENT BOYS RESCUED FROM SATANIC RITUAL: TB Joshua Prophecy!!!,ipailYlM5IY
259,I Tried To Seduce T.B. Joshua... - SEA PRINCESS!,ZlLXSQr1-Aw
260,BREAK YOUR BAD HABITS - TB Joshua Mass Prayer!!!,HJB_RUavUnc
261,MUST-WATCH MESSAGE: TB Joshua Pastors Conference In South Korea!!!,a6nYlEUjgZA
262,How To Know Your Calling In Life - T.B. Joshua,S9vhzhV92Dc
263,DEMON Attacks TB Joshua... And FAILS!!!,zVv90VfY9t8
264,MIGHTY Revelation Of Jesus & TB Joshua!!!,oHJDUHYjKjc
265,INCREDIBLE: Watch This Woman Walk Again!!!,xLLty5Gt7kY
266,BIZARRE: The Tree I Cut Down Entered Inside Me!!!,XSWMEXTfGdY
267,You CANNOT Deny This MIRACLE!!!,21ijUVwpsfA
268,TB Joshua: IMPORTANT MESSAGE TO NIGERIA,QahtOd6Srts
269,HORRIFIC HEALING: Vagina & Lip Cancer!!!,TJMb0_qOFqc
